20220304||||||||
IBOV|IBRX100|Empresa|Valor (R$ Mil) em 25/02/2022|Valor (R$ Mil) em 31/01/2022|Var (%)|Valor (USD Mil) em 25/02/2022|Valor (USD Mil) em 31/01/2022|Var (%)
||PRINER|235784037.42|247845597.09|-4.87|45877736.00|46262291.00|-0.83
||PROFARMA|594301310.40|620301992.73|-4.19|115636321.00|115784148.00|-0.13
*|**|QUALICORP|3652424219.50|5225863580.00|-30.11|710671327.00|975447713.00|-27.14
||QUALITY SOFT|6317388.50|6317388.50|0.00|1229207.00|1179189.00|4.24
||QUERO-QUERO|1509559568.14|1899123327.66|-20.51|293722919.00|354486006.00|-17.14
*|**|RAIADROGASIL|38589084800.00|38258698800.00|0.86|7508480523.00|7141280995.00|5.14
||RAIZEN|7759529699.00|8724374898.00|-11.06|1509812371.00|1628471814.00|-7.29
||RANDON PART|3522160681.61|3979121480.56|-11.48|685325268.00|742733692.00|-7.73
||RECRUSUL|144145206.18|181419702.24|-20.55|28047088.00|33863386.00|-17.18
*|**|REDE D OR|102528724905.00|89099472309.60|15.07|19949551486.00|16631103205.00|19.95
||REDE ENERGIA|14645644215.56|14455715111.90|1.31|2849679771.00|2698270637.00|5.61
||RENOVA|196334215.76|251074239.76|-21.80|38201778.00|46864942.00|-18.49
||RIOSULENSE|373120000.00|431420000.00|-13.51|72599914.00|80527868.00|-9.84
||RNI|402682233.60|408372308.64|-1.39|78351993.00|76225839.00|2.79
||ROSSI RESID|138598962.96|151807032.45|-8.70|26967927.00|28335953.00|-4.83
*|**|RUMO S.A.|28739461260.50|28961960315.42|-0.77|5591987637.00|5405973106.00|3.44
*|**|SABESP|28304143675.29|25535928705.84|10.84|5507285612.00|4766477901.00|15.54
||SANEPAR|5959187084.55|5989411194.93|-0.50|1159510271.00|1117969761.00|3.72
||SANSUY|45760158.40|46544666.40|-1.69|8903794.00|8687921.00|2.48
*|**|SANTANDER BR|115775238709.13|125403908881.40|-7.68|22526995118.00|23407606093.00|-3.76
||SANTANENSE|168500294.06|161568167.99|4.29|32785986.00|30157944.00|8.71
|**|SANTOS BRP|5591141976.96|6022557252.96|-7.16|1087897805.00|1124156728.00|-3.23
||SAO CARLOS|2043901092.60|2297945296.20|-11.06|397692550.00|428929200.00|-7.28
||SAO MARTINHO|14171073499.87|13006376227.46|8.95|2757340059.00|2427740364.00|13.58
||SARAIVA LIVR|15412364.85|10575191.07|45.74|2998865.00|1973941.00|51.92
||SCHULZ|9427049820.82|9393277288.18|0.36|1834270503.00|1753327601.00|4.62
||SEG AL BAHIA|441600000.00|418752000.00|5.46|85924427.00|78163288.00|9.93
||SEQUOIA LOG|2097415547.84|2127718723.34|-1.42|408105138.00|397155098.00|2.76
||SER EDUCA|1428809316.00|1489308449.20|-4.06|278010919.00|277990900.00|0.01
*|**|SID NACIONAL|34826853579.70|35437364160.38|-1.72|6776443472.00|6614657140.00|2.45
||SIMPAR|8831638608.65|9266942123.01|-4.70|1718418222.00|1729746168.00|-0.65
||SINQIA|1505566560.64|1676173986.32|-10.18|292945978.00|312870793.00|-6.37
|**|SLC AGRICOLA|9340221678.03|9767191102.02|-4.37|1817375896.00|1823121496.00|-0.32
||SMART FIT|10845482346.50|10147854022.59|6.87|2110262355.00|1894175164.00|11.41
||SONDOTECNICA|91679123.00|95319994.00|-3.82|17838488.00|17792212.00|0.26
||SPRINGS|259000000.00|303000000.00|-14.52|50394988.00|56557285.00|-10.90
||SPTURIS|236893344.00|236893344.00|0.00|46093580.00|44217968.00|4.24
||STARA||||0.00|0.00|
||STATKRAFT|2094094831.55|2094094831.55|0.00|407459009.00|390878940.00|4.24
||STONE CO|22804182.72|30255016.32|-24.63|4437129.00|5647332.00|-21.43
*|**|SUL AMERICA|14989729994.75|10816452967.25|38.58|2916630345.00|2018974310.00|44.46
||SUZANO HOLD|3865903852.24|3865903852.24|0.00|752209179.00|721600749.00|4.24
*|**|SUZANO S.A.|74964785570.88|80586804172.80|-6.98|14586291312.00|15042148089.00|-3.03
||SYN PROP TEC|989136003.60|1105145781.80|-10.50|192461378.00|206283978.00|-6.70
*|**|TAESA|13583591868.56|13149523245.74|3.30|2643030678.00|2454459858.00|7.68
||TAURUS ARMAS|2648428890.81|2594740192.02|2.07|515318693.00|484328255.00|6.40
||TC|1380070976.20|1202633279.26|14.75|268527645.00|224480770.00|19.62
||TECHNOS|169573424.40|206471345.45|-17.87|32994790.00|38539468.00|-14.39
||TECNISA|257667305.00|265765420.30|-3.05|50135678.00|49607164.00|1.07
||TECNOSOLO|8512190.84|9973071.98|-14.65|1656262.00|1861551.00|-11.03
||TEGMA|1005884424.60|983443433.50|2.28|195720206.00|183567296.00|6.62
||TEGRA INCORP||||0.00|0.00|
||TEKA|7195245.10|7362865.10|-2.28|1400017.00|1374336.00|1.87
||TEKNO|221085750.00|150338310.00|47.06|43017813.00|28061804.00|53.30
||TELEBRAS|2121146544.55|2265447699.60|-6.37|412722603.00|422863273.00|-2.40
*|**|TELEF BRASIL|84836713586.91|84008130974.64|0.99|16507124098.00|15680765105.00|5.27
||TENDA|1313694057.14|1670551378.46|-21.36|255612339.00|311821290.00|-18.03
||TERRASANTAPA|2192050194.36|1894708881.78|15.69|426518698.00|353662015.00|20.60
||TEX RENAUX|59618880.16|68414551.72|-12.86|11600358.00|12770103.00|-9.16
*|**|TIM|32947147856.78|32124074361.46|2.56|6410699276.00|5996206063.00|6.91
||TIME FOR FUN|219765170.54|251449106.17|-12.60|42760861.00|46934914.00|-8.89
*|**|TOTVS|20397904132.05|17941515071.67|13.69|3968927138.00|3348922065.00|18.51
||TRACK FIELD|755925072.00|850235723.84|-11.09|147084304.00|158703051.00|-7.32
||TRAN PAULIST|18304466102.64|17734502257.92|3.21|3561595926.00|3310281528.00|7.59
||TREVISA|425968080.00|426020040.00|-0.01|82882842.00|79519924.00|4.23
||TRISUL|961080320.70|1198084593.96|-19.78|187002436.00|223631723.00|-16.38
||TRIUNFO PART|309760000.00|369600000.00|-16.19|60271627.00|68988689.00|-12.64
||TUPY|2655749550.00|3008984425.00|-11.74|516743112.00|561650133.00|-8.00
*|**|ULTRAPAR|16515395314.48|16849277090.13|-1.98|3213487044.00|3145047428.00|2.18
||UNICASA|248484728.64|246502137.72|0.80|48348976.00|46011524.00|5.08
||UNIFIQUE|1893519455.07|2432973372.48|-22.17|368432007.00|454133231.00|-18.87
||UNIPAR|8996434971.15|8839881415.60|1.77|1750483514.00|1650031996.00|6.09
*|**|USIMINAS|17685430714.06|19059701302.92|-7.21|3441146965.00|3557640143.00|-3.27
*|**|VALE|473623260967.44|415061910646.26|14.11|92155360736.00|77474504544.00|18.95
||VALID|833835131.92|796082753.90|4.74|162243673.00|148594982.00|9.19
||VAMOS|10795717068.50|11997412271.60|-10.02|2100579264.00|2239409466.00|-6.20
*|**|VIA|6058033994.24|7544570040.32|-19.70|1178743432.00|1408252145.00|-16.30
*|**|VIBRA|27482350000.00|26678500000.00|3.01|5347384909.00|4979747639.00|7.38
||VITTIA|1974077676.60|2171485444.26|-9.09|384106642.00|405324494.00|-5.23
||VIVARA S.A.|6204915391.63|6212001324.70|-0.11|1207322915.00|1159517924.00|4.12
||VIVEO|4769676411.20|5078689640.00|-6.08|928060943.00|947976563.00|-2.10
||VIVER|137186604.48|182915472.64|-25.00|26693117.00|34142583.00|-21.82
||VULCABRAS|2174942759.40|2312566256.04|-5.95|423190014.00|431658315.00|-1.96
||WDC NETWORKS|843206341.52|1051780147.35|-19.83|164067078.00|196322871.00|-16.43
*|**|WEG|123401149141.20|134985746815.68|-8.58|24010808488.00|25196129991.00|-4.70
||WESTWING|286447023.20|410941306.36|-30.29|55735499.00|76705362.00|-27.34
||WETZEL S/A|34560730.38|37400774.52|-7.59|6724662.00|6981143.00|-3.67
||WHIRLPOOL|9417454440.38|9957652095.90|-5.42|1832403479.00|1858672508.00|-1.41
||WILSON SONS|4162259700.00|4417499374.80|-5.78|809872689.00|824560304.00|-1.78
||WIZ S.A.|1152931503.22|1312838785.22|-12.18|224331927.00|245051477.00|-8.46
||WLM IND COM|1327727825.06|1171559873.56|13.33|258342963.00|218680680.00|18.14
||XP INC|5323318806.09|5923644109.50|-10.13|1035786046.00|1105693827.00|-6.32
*|**|YDUQS PART|6568138083.75|6833954495.61|-3.89|1277997059.00|1275610277.00|0.19
||Total (IBXX)|4030010547230.04|3965356299916.56||784140278485.00|740164314764.00|
||Total (IBOV)|3987194745033.40|3921972539103.80||775809383400.00|732066401444.00|
||Total Geral (396)|4771336949147.67|4726956351169.29||928384042727.00|882322834057.00|
