20220304||||||||
IBOV|IBRX100|Empresa|Valor (R$ Mil) em 25/02/2022|Valor (R$ Mil) em 31/01/2022|Var (%)|Valor (USD Mil) em 25/02/2022|Valor (USD Mil) em 31/01/2022|Var (%)
||CAIXA SEGURI|24960000000.00|27000000000.00|-7.56|4856598046.00|5039758092.00|-3.63
||CAMBUCI|200806630.00|191506112.40|4.86|39071999.00|35746092.00|9.30
||CAMIL|3385500000.00|3307800000.00|2.35|658734483.00|617426364.00|6.69
*|**|CARREFOUR BR|37820718427.50|33095610298.50|14.28|7358975450.00|6177550733.00|19.12
||CASAN|12103536130.91|12103536130.91|0.00|2355048475.00|2259218302.00|4.24
||CBA|11892833326.68|10331749994.22|15.11|2314050926.00|1928500764.00|19.99
*|**|CCR SA|23755200000.00|26260000000.00|-9.54|4622173795.00|4901631388.00|-5.70
||CEA MODAS|1593627001.56|2028252547.44|-21.43|310080360.00|378588970.00|-18.10
||CEB|1053560333.05|1108433331.65|-4.95|204996757.00|206897624.00|-0.92
||CEDRO|62745005.76|63517727.04|-1.22|12208625.00|11856073.00|2.97
||CEEE-D|3345606865.20|3754152361.20|-10.88|650972266.00|700741472.00|-7.10
||CEEE-T|3863227228.00|3863227228.00|0.00|751688374.00|721101136.00|4.24
||CEG|20742458409.48|15056392078.68|37.77|4035968870.00|2810391623.00|43.61
||CELESC|2355295153.85|2465180894.80|-4.46|458282125.00|460145013.00|-0.40
||CELGPAR|3234029928.00|3235588496.64|-0.05|629262157.00|603947530.00|4.19
||CELPE|8503523727.72|8484013068.36|0.23|1654575189.00|1583606426.00|4.48
||CEMEPE|26804939.40|26804939.40|0.00|5215578.00|5003349.00|4.24
*|**|CEMIG|24069369432.22|25341385073.50|-5.02|4683303388.00|4730164832.00|-0.99
|**|CESP|7471887113.56|7668033159.65|-2.56|1453844245.00|1431297488.00|1.58
*|**|CIELO|6982214706.77|6248674640.30|11.74|1358566118.00|1166363281.00|16.48
||CIMS|10520534.41|8885912.97|18.40|2047036.00|1658624.00|23.42
||CINESYSTEM||||0.00|0.00|
||CLEARSALE|1725161230.80|2166787471.80|-20.38|335673664.00|404447581.00|-17.00
||COELBA|9275533293.48|9153935206.28|1.33|1804789138.00|1708652557.00|5.63
||COELCE|4555659613.36|4440680396.04|2.59|886418573.00|828887221.00|6.94
*|**|COGNA ON|4241130034.60|4841644021.80|-12.40|825218904.00|903730172.00|-8.69
||COMERC PAR||||0.00|0.00|
||COMGAS|16100179517.49|17799268843.80|-9.55|3132696330.00|3322370710.00|-5.71
||COMPASS||||0.00|0.00|
||CONST A LIND|18605950.00|18605950.00|0.00|3620257.00|3472944.00|4.24
||COPASA|5391988518.42|5000327857.35|7.83|1049147472.00|933349733.00|12.41
*|**|COPEL|18141660461.10|18848069803.20|-3.75|3529917979.00|3518137493.00|0.33
||COR RIBEIRO|1756201.36|1756201.36|0.00|341713.00|327809.00|4.24
*|**|COSAN|39561637374.52|44546666053.64|-11.19|7697715176.00|8314978544.00|-7.42
||COSERN|2809510990.80|2598415366.00|8.12|546661282.00|485014254.00|12.71
||COTEMINAS|182384828.07|178466794.90|2.20|35487572.00|33312203.00|6.53
*|**|CPFL ENERGIA|34867219354.40|33334720949.20|4.60|6784297652.00|6222182579.00|9.03
||CR2|40328847.45|41176601.00|-2.06|7846995.00|7685930.00|2.10
||CRISTAL|1788073642.95|1929302690.83|-7.32|347914862.00|360119217.00|-3.39
